date,unit_sales,onpromotion,transactions,dcoilwtico,is_holiday,year,month,day,dayofweek,quarter,is_weekend,day_of_month,is_month_start,is_month_end,is_payday,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_30,sales_rolling_mean_7,sales_rolling_std_7,sales_rolling_mean_14,sales_rolling_std_14,sales_rolling_mean_30,sales_rolling_std_30
2013-01-02,30095.181,0,4821.0,93.14,0.0,2013,1,2,2,1,0,2,0,0,0,,,,,,,,,,
2013-01-03,20447.057,0,3618.0,92.97,0.0,2013,1,3,3,1,0,3,0,0,0,30095.181,,,,,,,,,
2013-01-04,22795.799,0,4169.0,93.12,0.0,2013,1,4,4,1,0,4,0,0,0,20447.057,,,,,,,,,
2013-01-05,31382.508,0,4921.0,93.12,1.0,2013,1,5,5,1,1,5,0,0,0,22795.799,,,,,,,,,
2013-01-06,36069.345,0,4925.0,93.12,0.0,2013,1,6,6,1,1,6,0,0,0,31382.508,,,,,,,,,
2013-01-07,21025.329,0,3871.0,93.2,0.0,2013,1,7,0,1,0,7,0,0,0,36069.345,,,,,,,,,
2013-01-08,33993.257,0,3593.0,93.21,0.0,2013,1,8,1,1,0,8,0,0,0,21025.329,,,,27972.639428571427,6450.272001392754,,,,
2013-01-09,21296.042,0,4006.0,93.08,0.0,2013,1,9,2,1,0,9,0,0,0,33993.257,30095.181,,,26715.61957142857,6814.777220664318,,,,
2013-01-10,15522.828,0,3323.0,93.81,0.0,2013,1,10,3,1,0,10,0,0,0,21296.042,20447.057,,,26012.158285714282,7758.509665626805,,,,
2013-01-11,19738.475,0,3873.0,93.6,0.0,2013,1,11,4,1,0,11,0,0,0,15522.828,22795.799,,,25575.39771428571,8050.3172787072535,,,,
2013-01-12,25418.678,0,4423.0,93.6,1.0,2013,1,12,5,1,1,12,0,0,0,19738.475,31382.508,,,24723.421999999995,7638.353254043963,,,,
2013-01-13,31129.35,0,4676.0,93.6,0.0,2013,1,13,6,1,1,13,0,0,0,25418.678,36069.345,,,24017.70842857143,6568.692994124347,,,,
2013-01-14,17518.412,0,3450.0,94.27,0.0,2013,1,14,0,1,0,14,0,0,0,31129.35,21025.329,,,23516.720285714284,6957.202041688759,,,,
2013-01-15,15761.721,0,3527.0,93.26,0.0,2013,1,15,1,1,0,15,0,0,1,17518.412,33993.257,,,20912.21514285714,5676.178653148275,24442.427285714286,6891.598267213094,,
2013-01-16,21994.873,0,4026.0,94.28,0.0,2013,1,16,2,1,0,16,0,0,0,15761.721,21296.042,30095.181,,21012.048142857144,5690.182820713862,23863.833857142858,6718.366097413931,,
2013-01-17,14999.145,0,3412.0,95.49,0.0,2013,1,17,3,1,0,17,0,0,0,21994.873,15522.828,20447.057,,20937.236285714283,5777.158643164354,23474.697285714286,7079.559535901025,,
2013-01-18,19238.575,0,3801.0,95.61,0.0,2013,1,18,4,1,0,18,0,0,0,14999.145,19738.475,22795.799,,20865.822000000004,5797.500804538684,23220.609857142856,7169.068736480351,,
2013-01-19,29145.704,0,4656.0,95.61,0.0,2013,1,19,5,1,1,19,0,0,0,19238.575,25418.678,31382.508,,21398.254285714287,6422.741531423731,23060.83814285714,6996.014725028944,,
2013-01-20,31897.753,0,4732.0,95.61,0.0,2013,1,20,6,1,1,20,0,0,0,29145.704,31129.35,36069.345,,21508.026142857143,6620.304035102983,22762.867285714285,6468.275760752824,,
2013-01-21,17632.768,0,3508.0,95.61,0.0,2013,1,21,0,1,0,21,0,0,0,31897.753,17518.412,21025.329,,21524.36271428572,6608.9496087141515,22520.5415,6600.573760025058,,
2013-01-22,34614.042,0,3349.0,96.09,0.0,2013,1,22,1,1,0,22,0,0,0,17632.768,15761.721,33993.257,,24217.551428571427,7631.38361967079,22564.883285714288,6685.118307358993,,
2013-01-23,17574.106,0,3704.0,95.06,0.0,2013,1,23,2,1,0,23,0,0,0,34614.042,21994.873,21296.042,,23586.013285714285,8019.053149508609,22299.030714285716,6812.256497468926,,
